id_rh,nilai_rh,id_waktu,id_tanggal
RH1,50.3,J14,T1
RH2,50.7,J14,T1
RH3,51.3,J14,T1
RH4,51.4,J14,T1
RH5,52.2,J14,T1
RH6,52.7,J15,T1
RH7,54.1,J15,T1
RH8,54.2,J15,T1
RH9,54.7,J15,T1
RH10,55.4,J15,T1
RH11,56,J15,T1
RH12,57.2,J16,T1
RH13,58.3,J16,T1
RH14,59.2,J16,T1
RH15,59.9,J16,T1
RH16,60.8,J16,T1
RH17,61.6,J16,T1
RH18,61.8,J17,T1
RH19,62.3,J17,T1
RH20,63.4,J17,T1
RH21,64.2,J17,T1
RH22,65.1,J17,T1
RH23,65.8,J17,T1
RH24,66.2,J18,T1
RH25,66.7,J18,T1
RH26,67.3,J18,T1
RH27,67.5,J18,T1
RH28,68,J18,T1
RH29,68.1,J18,T1
RH30,68.6,J19,T1
RH31,68.6,J19,T1
RH32,68.7,J19,T1
RH33,68.7,J19,T1
RH34,68.8,J19,T1
RH35,69,J19,T1
RH36,69,J20,T1
RH37,69.1,J20,T1
RH38,68.9,J20,T1
RH39,69.1,J20,T1
RH40,69.2,J20,T1
RH41,69.4,J20,T1
RH42,69.3,J21,T1
RH43,69.4,J21,T1
RH44,69.2,J21,T1
RH45,69,J21,T1
RH46,69.2,J21,T1
RH47,69.3,J21,T1
RH48,69.3,J22,T1
RH49,69.5,J22,T1
RH50,69.4,J22,T1
RH51,69.5,J22,T1
RH52,69.5,J22,T1
RH53,69.3,J22,T1
RH54,69.4,J23,T1
RH55,69.4,J23,T1
RH56,69.3,J23,T1
RH57,69,J23,T1
RH58,68.7,J23,T1
RH59,68.5,J23,T1
RH60,51.3,J23,T2
RH61,52.4,J24,T3
RH62,51.6,J24,T3
RH63,50.9,J24,T3
RH64,68.2,J24,T2
RH65,67.4,J24,T2
RH66,67.4,J24,T2
RH67,67.3,J24,T2
RH68,67.2,J24,T2
RH69,67.2,J24,T2
RH70,66.8,J1,T2
RH71,66.7,J1,T2
RH72,66.4,J1,T2
RH73,65.5,J1,T2
RH74,64.9,J1,T2
RH75,64.2,J1,T2
RH76,63.6,J2,T2
RH77,62.9,J2,T2
RH78,62.3,J2,T2
RH79,61.6,J2,T2
RH80,60.9,J2,T2
RH81,60.3,J2,T2
RH82,59.8,J3,T2
RH83,59.5,J3,T2
RH84,59.2,J3,T2
RH85,58.5,J3,T2
RH86,58,J3,T2
RH87,57.6,J3,T2
RH88,57.1,J4,T2
RH89,56.6,J4,T2
RH90,56.3,J4,T2
RH91,56.1,J4,T2
RH92,56.2,J4,T2
RH93,56.4,J4,T2
RH94,56.8,J5,T2
RH95,57,J5,T2
RH96,57,J5,T2
RH97,56.8,J5,T2
RH98,56.6,J5,T2
RH99,56.3,J5,T2
RH100,56.1,J6,T2
RH101,55.9,J6,T2
RH102,55.6,J6,T2
RH103,55.4,J6,T2
RH104,55.3,J6,T2
RH105,55.1,J6,T2
RH106,55,J7,T2
RH107,54.9,J7,T2
RH108,54.8,J7,T2
RH109,54.8,J7,T2
RH110,54.9,J7,T2
RH111,54.9,J7,T2
RH112,55,J8,T2
RH113,55,J8,T2
RH114,55.1,J8,T2
RH115,55.3,J8,T2
RH116,55.5,J8,T2
RH117,55.7,J8,T2
RH118,55.8,J9,T2
RH119,56,J9,T2
RH120,56.2,J9,T2
RH121,56.3,J9,T2
RH122,56.4,J9,T2
RH123,56.5,J9,T2
RH124,56.6,J10,T2
RH125,56.8,J10,T2
RH126,57,J10,T2
RH127,57.1,J10,T2
RH128,57.3,J10,T2
RH129,57.3,J10,T2
RH130,57.4,J11,T2
RH131,57.5,J11,T2
RH132,57.6,J11,T2
RH133,57.6,J11,T2
RH134,57.7,J11,T2
RH135,57.9,J11,T2
RH136,58.1,J12,T2
RH137,58.3,J12,T2
RH138,58.5,J12,T2
RH139,58.7,J12,T2
RH140,59,J12,T2
RH141,59.1,J12,T2
RH142,59.2,J13,T2
RH143,59.2,J13,T2
RH144,59.3,J13,T2
RH145,59.3,J13,T2
RH146,59.4,J13,T2
RH147,59.4,J13,T2
RH148,59.5,J14,T2
RH149,59.6,J14,T2
RH150,59.7,J14,T2
RH151,59.8,J14,T2
RH152,59.9,J14,T2
RH153,60,J14,T2
RH154,60.1,J15,T2
RH155,60.1,J15,T2
RH156,60.2,J15,T2
RH157,60.3,J15,T2
RH158,60.4,J15,T2
RH159,60.4,J15,T2
RH160,60.4,J16,T2
RH161,60.6,J16,T2
RH162,60.7,J16,T2
RH163,60.7,J16,T2
RH164,60.8,J16,T2
RH165,60.8,J16,T2
RH166,60.9,J17,T2
RH167,60.9,J17,T2
RH168,61,J17,T2
RH169,61,J17,T2
RH170,61,J17,T2
RH171,61,J17,T2
RH172,61,J18,T2
RH173,61.1,J18,T2
RH174,61.1,J18,T2
RH175,61.2,J18,T2
RH176,61.2,J18,T2
RH177,61.2,J18,T2
RH178,61.1,J19,T2
RH179,61.1,J19,T2
RH180,61.1,J19,T2
RH181,61.1,J19,T2
RH182,61.1,J19,T2
RH183,61.1,J19,T2
RH184,61.1,J20,T2
RH185,61.2,J20,T2
RH186,61.2,J20,T2
RH187,61.2,J20,T2
RH188,61.2,J20,T2
RH189,61.3,J20,T2
RH190,61.3,J21,T2
RH191,61.4,J21,T2
RH192,61.4,J21,T2
RH193,61.4,J21,T2
RH194,61.5,J21,T2
RH195,61.5,J21,T2
RH196,61.6,J22,T2
RH197,61.6,J22,T2
RH198,61.6,J22,T2
RH199,61.7,J22,T2
RH200,61.7,J22,T2
RH201,61.8,J22,T2
RH202,61.8,J23,T2
RH203,61.9,J23,T2
RH204,61.9,J23,T2
RH205,61.9,J23,T2
RH206,61.9,J23,T2
RH207,61.6,J23,T2
RH208,60.7,J24,T3
RH209,59.9,J24,T3
RH210,60.5,J24,T3
RH211,60.8,J24,T3
RH212,60.7,J24,T3
RH213,60.4,J24,T3
RH214,60.2,J1,T3
RH215,59.9,J1,T3
RH216,59.7,J1,T3
RH217,59.5,J1,T3
RH218,59.3,J1,T3
RH219,59.1,J1,T3
RH220,58.9,J2,T3
RH221,58.7,J2,T3
RH222,58.6,J2,T3
RH223,58.5,J2,T3
RH224,58.3,J2,T3
RH225,58.1,J2,T3
RH226,57.9,J3,T3
RH227,57.8,J3,T3
RH228,57.7,J3,T3
RH229,57.6,J3,T3
RH230,57.5,J3,T3
RH231,57.5,J3,T3
RH232,57.6,J4,T3
RH233,57.7,J4,T3
RH234,57.4,J4,T3
RH235,57.2,J4,T3
RH236,57,J4,T3
RH237,56.8,J4,T3
RH238,56.5,J5,T3
RH239,56.2,J5,T3
RH240,56.1,J5,T3
RH241,55.7,J5,T3
RH242,55.5,J5,T3
RH243,55.3,J5,T3
RH244,55.2,J6,T3
RH245,54.9,J6,T3
RH246,54.6,J6,T3
RH247,54.2,J6,T3
RH248,54,J6,T3
RH249,53.8,J6,T3
RH250,53.6,J7,T3
RH251,53.5,J7,T3
RH252,53.2,J7,T3
RH253,53.1,J7,T3
RH254,53,J7,T3
RH255,53,J7,T3
RH256,53,J8,T3
RH257,53,J8,T3
RH258,52.8,J8,T3
RH259,49.6,J8,T3
RH260,42.7,J8,T3
RH261,41.9,J8,T3
RH262,42.2,J9,T3
RH263,43.1,J9,T3
RH264,44.9,J9,T3
RH265,46.2,J9,T3
RH266,47.2,J9,T3
RH267,48.1,J9,T3
RH268,48.9,J10,T3
RH269,49.5,J10,T3
RH270,50.2,J10,T3
RH271,50.7,J10,T3
RH272,51.3,J10,T3
RH273,51.7,J10,T3
RH274,52.1,J11,T3
RH275,52.5,J11,T3
RH276,52.7,J11,T3
RH277,52.9,J11,T3
RH278,53.1,J11,T3
RH279,53.4,J11,T3
RH280,53.8,J12,T3
RH281,54.4,J12,T3
RH282,54.9,J12,T3
RH283,55.4,J12,T3
RH284,55.9,J12,T3
RH285,56.3,J12,T3
RH286,56.6,J13,T3
RH287,56.8,J13,T3
RH288,57.1,J13,T3
RH289,57.3,J13,T3
RH290,57.5,J13,T3
RH291,57.6,J13,T3
RH292,57.7,J14,T3
RH293,57.9,J14,T3
RH294,58,J14,T3
RH295,58.2,J14,T3
RH296,58.3,J14,T3
RH297,58.4,J14,T3
RH298,58.5,J15,T3
RH299,58.6,J15,T3
RH300,58.7,J15,T3
RH301,58.7,J15,T3
RH302,58.8,J15,T3
RH303,58.8,J15,T3
RH304,58.9,J16,T3
RH305,59,J16,T3
RH306,59.1,J16,T3
RH307,59.2,J16,T3
RH308,59.3,J16,T3
RH309,59.4,J16,T3
RH310,59.4,J17,T3
RH311,59.6,J17,T3
RH312,59.7,J17,T3
RH313,59.8,J17,T3
RH314,59.9,J17,T3
RH315,59.9,J17,T3
RH316,60,J18,T3
RH317,60,J18,T3
RH318,60.1,J18,T3
RH319,60.1,J18,T3
RH320,60.2,J18,T3
RH321,60.2,J18,T3
RH322,60.2,J19,T3
RH323,60.3,J19,T3
RH324,60.3,J19,T3
RH325,60.3,J19,T3
RH326,60.4,J19,T3
RH327,60.4,J19,T3
RH328,60.4,J20,T3
RH329,60.5,J20,T3
RH330,60.6,J20,T3
RH331,60.7,J20,T3
RH332,60.7,J20,T3
RH333,60.8,J20,T3
RH334,60.9,J21,T3
RH335,61,J21,T3
RH336,61,J21,T3
RH337,61.1,J21,T3
RH338,61.2,J21,T3
RH339,61.3,J21,T3
RH340,61.4,J22,T3
RH341,61.4,J22,T3
RH342,61.5,J22,T3
RH343,61.6,J22,T3
RH344,61.7,J22,T3
RH345,61.7,J22,T3
RH346,61.8,J23,T3
